[2020-07-11 20:25:35,645] update_remark_cases.py->test_update_remark line:25 [INFO] : [Test_VXAPI_012] 验证设置用户备注名能否成功执行
[2020-07-11 20:26:19,660] update_remark_cases.py->test_update_remark line:25 [INFO] : [Test_VXAPI_012] 验证设置用户备注名能否成功执行
[2020-07-11 20:26:19,910] update_remark_cases.py->test_update_remark_openid_error line:34 [INFO] : [Test_VXAPI_012] 验证设置用户备注名能否成功执行
[2020-07-11 20:27:30,000] update_remark_cases.py->test_update_remark line:25 [INFO] : [Test_VXAPI_012] 验证设置用户备注名能否成功执行
[2020-07-11 20:27:30,273] update_remark_cases.py->test_update_remark_openid_error line:34 [INFO] : [Test_VXAPI_013] 验证openid错误设置用户备注名能否成功执行
[2020-07-11 20:27:39,221] update_remark_cases.py->test_update_remark line:25 [INFO] : [Test_VXAPI_012] 验证设置用户备注名能否成功执行
[2020-07-11 20:27:39,466] update_remark_cases.py->test_update_remark_openid_error line:34 [INFO] : [Test_VXAPI_013] 验证openid错误设置用户备注名能否成功执行
[2020-07-11 20:27:49,707] get_access_token_cases.py->test_get_access_token line:24 [INFO] : [Test_VXAPI_001] 验证获取access_token接口能否正常执行
[2020-07-11 20:27:49,841] get_access_token_cases.py->test_get_access_token_appid_error line:34 [INFO] : [Test_VXAPI_002] 验证获取access_token接口appid错误
[2020-07-11 20:27:49,906] get_access_token_cases.py->test_get_access_token_secret_error line:44 [INFO] : [Test_VXAPI_002] 验证获取access_token接口secret错误
[2020-07-11 20:27:49,994] update_remark_cases.py->test_update_remark line:25 [INFO] : [Test_VXAPI_012] 验证设置用户备注名能否成功执行
[2020-07-11 20:27:50,231] update_remark_cases.py->test_update_remark_openid_error line:34 [INFO] : [Test_VXAPI_013] 验证openid错误设置用户备注名能否成功执行
[2020-07-11 20:27:50,413] create_tag_cases.py->test_add_tag line:24 [INFO] : [Test_VXAPI_004] 验证创建标签接口能否成功执行
[2020-07-11 20:27:50,619] create_tag_cases.py->test_tag_name_long line:42 [INFO] : [Test_VXAPI_006] 验证创建标签接口标签名超过30个字符
[2020-07-11 20:27:50,760] create_tag_cases.py->test_tag_name_redo line:33 [INFO] : [Test_VXAPI_005] 验证创建标签接口重复标签名创建
